i94port,portname,country,addr
HEF,MANASSAS,UNITED STATES,VA
NWN,NEWPORT,UNITED STATES,VA
NOR,NORFOLK,UNITED STATES,VA
RCM,RICHMOND,UNITED STATES,VA
ABS,ALBURGSPRINGS,UNITED STATES,VT
ABG,ALBURG,UNITED STATES,VT
BEB,BEEBEPLAIN,UNITED STATES,VT
BEE,BEECHERFALLS,UNITED STATES,VT
BRG,BURLINGTON,UNITED STATES,VT
CNA,CANAAN,UNITED STATES,VT
DER,DERBYLINE,UNITED STATES,VT
DLV,DERBYLINE,UNITED STATES,VT
ERC,EASTRICHFORD,UNITED STATES,VT
HIG,HIGHGATESPRINGS,UNITED STATES,VT
MOR,MORSESLINE,UNITED STATES,VT
NPV,NEWPORT,UNITED STATES,VT
NRT,NORTHTROY,UNITED STATES,VT
NRN,NORTON,UNITED STATES,VT
PIV,PINNACLEROAD,UNITED STATES,VT
RIF,RICHFORT,UNITED STATES,VT
STA,STALBANS,UNITED STATES,VT
SWB,SWANTON,UNITED STATES,VT
WBE,WESTBERKSHIRE,UNITED STATES,VT
ABE,ABERDEEN,UNITED STATES,WA
ANA,ANACORTES,UNITED STATES,WA
BEL,BELLINGHAM,UNITED STATES,WA
BLI,BELLINGHAM WASHINGTON,UNITED STATES,WA
BLA,BLAINE,UNITED STATES,WA
BWA,BOUNDARY,UNITED STATES,WA
CUR,CURLEW,UNITED STATES,WA
DVL,DANVILLE,UNITED STATES,WA
EVE,EVERETT,UNITED STATES,WA
FER,FERRY,UNITED STATES,WA
FRI,FRIDAYHARBOR,UNITED STATES,WA
FWA,FRONTIER,UNITED STATES,WA
KLM,KALAMA,UNITED STATES,WA
LAU,LAURIER,UNITED STATES,WA
LON,LONGVIEW,UNITED STATES,WA
MET,METALINEFALLS,UNITED STATES,WA
MWH,MOSESLAKEGRANTCOUNTYARPT,UNITED STATES,WA
NEA,NEAHBAY,UNITED STATES,WA
NIG,NIGHTHAWK,UNITED STATES,WA
OLY,OLYMPIA,UNITED STATES,WA
ORO,OROVILLE,UNITED STATES,WA
PWB,PASCO,UNITED STATES,WA
PIR,POINTROBERTS,UNITED STATES,WA
PNG,PORTANGELES,UNITED STATES,WA
PTO,PORTTOWNSEND,UNITED STATES,WA
SEA,SEATTLE,UNITED STATES,WA
SPO,SPOKANE,UNITED STATES,WA
SUM,SUMAS,UNITED STATES,WA
TAC,TACOMA,UNITED STATES,WA
PSC,TRI-CITIES-PASCO,UNITED STATES,WA
VAN,VANCOUVER,UNITED STATES,WA
AGM,ALGOMA,UNITED STATES,WI
BAY,BAYFIELD,UNITED STATES,WI
GRB,GREENBAY,UNITED STATES,WI
MNW,MANITOWOC,UNITED STATES,WI
MIL,MILWAUKEE,UNITED STATES,WI
MSN,TRUAXFIELD-DANECOUNTY,UNITED STATES,WI
CHS,CHARLESTON,UNITED STATES,WV
CLK,CLARKSBURG,UNITED STATES,WV
BLF,MERCERCOUNTY,UNITED STATES,WV
CSP,CASPER,UNITED STATES,WY
CNC,CANNON CORNERS,UNITED STATES,NY
AG0,MAGNOLIA,UNITED STATES,AR
BHM,BARHARBOR,UNITED STATES,ME
BHX,BIRMINGHAM,UNITED STATES,AL
CAK,AKRON,UNITED STATES,OH
FOK,SUFFOLKCOUNTY,UNITED STATES,NY
LND,LANDER,UNITED STATES,WY
MAR,MARFA,UNITED STATES,TX
MLI,MOLINE,UNITED STATES,IL
RIV,RIVERSIDE,UNITED STATES,CA
RME,ROME,UNITED STATES,NY
VNY,VANNUYS,UNITED STATES,CA
YUM,YUMA,UNITED STATES,AZ
CLG,CALGARY,CANADA,INTL
EDA,EDMONTON,CANADA,INTL
YHC,HAKAIPASS,CANADA,INTL
HAL,Halifax,CANADA,INTL
MON,MONTREAL NS,CANADA,INTL
OTT,OTTAWA,CANADA,INTL
YXE,SASKATOON,CANADA,INTL
TOR,TORONTO,CANADA,INTL
VCV,VANCOUVER,CANADA,INTL
VIC,VICTORIA,CANADA,INTL
WIN,WINNIPEG,CANADA,INTL
AMS,AMSTERDAM-SCHIPHOL,NETHERLANDS,INTL
ARB,ARUBA,NETHANTILLES,INTL
BAN,BANKOK,THAILAND,INTL
BEI,BEICA,ETHIOPIA,INTL
PEK,BEIJINGCAPITALINTL,PRC,INTL
BDA,KINDLEYFIELD,BERMUDA,INTL
BOG,BOGOTA ELDORADO,COLOMBIA,INTL
EZE,BUENOSAIRES MINISTROPIST,ARGENTINA,INTL
CUN,CANCUN,MEXICO,INTL
CRQ,CARAVELAS BA,BRAZIL,INTL
MVD,CARRASCO,URUGUAY,INTL
DUB,DUBLIN,IRELAND,INTL
FOU,FOUGAMOU,GABON,INTL
FBA,FREEPORT,BAHAMAS,INTL
MTY,GENMESCOBEDO MONTERREY,MEXICO,INTL
HMO,GENPESQUEIRAGARCIA,MEXICO,INTL
GCM,GRANDCAYMAN,CAYMANISLAND,INTL
GDL,GUADALAJARA MIGUELHIDAL,MEXICO,INTL
HAM,HAMILTON,BERMUDA,INTL
ICN,INCHON,SEOULKOREA,INTL
IWA,INVALID-IWAKUNI,JAPAN,INTL
CND,KOGALNICEANU,ROMANIA,INTL
LAH,LABUHAARPT,INDONESIA,INTL
DUR,LOUISBOTHA,SOUTHAFRICA,INTL
MAL,MANGOLEARPT,INDONESIA,INTL
MDE,MEDELLIN,COLOMBIA,INTL
MEX,JUAREZINTL MEXICOCITY,MEXICO,INTL
LHR,MIDDLESEX,ENGLAND,INTL
NBO,NAIROBI,KENYA,INTL
NAS,NASSAU,BAHAMAS,INTL
NCA,NORTHCAICOS,TURK&CAIMAN,INTL
PTY,OMARTORRIJOS,PANAMA,INTL
SPV,PAPUA,NEWGUINEA,INTL
UIO,QUITO(MARISCALSUCR),ECUADOR,INTL
